sampleId,questionId,questionLabel,sanitizedText,humanThemes,humanStance,coderNotes
Q01-01,priorInfluence,Professional experiences shaping practice,I teach and experiment... I adjust and evolve... from training and trial and error.,,,
Q01-02,priorInfluence,Professional experiences shaping practice,"Previous experiences inform my student-centered teaching approach, innovative lesson design, and ongoing professional development to deliver the best education for my students.",,,
Q01-03,priorInfluence,Professional experiences shaping practice,My teaching internship during my MFA influenced the structure and routine of the classroom. Professional Development with educational technology and encouragement to integrate STEM in the classroom has influenced my use of digital technology.,,,
Q01-04,priorInfluence,Professional experiences shaping practice,"I taught exclusively online for 7 years of my career, which impacts my willingness to use all technology in the class. However, I've always viewed it as a just another tool to use and not a crutch, even online. When online, students would do work with traditional art media just like in a 'regular' classroom setting.…",,,
Q01-05,priorInfluence,Professional experiences shaping practice,"I focus only on fine arts and do not allow technology into the classroom, as they are on iPads for everything else.",,,
Q01-06,priorInfluence,Professional experiences shaping practice,No,,,
Q02-01,mediaDefinition,How teachers define media arts,I define media arts as using various platforms to create digital work - I don't really consider my teaching of Digital Photography or Graphic Design to be media arts necessarily when the projects are intended to be viewed in print - not only in digital.,,,
Q02-02,mediaDefinition,How teachers define media arts,"Art that includes digital, video, 3-d, painting/design and graphic design.",,,
Q02-03,mediaDefinition,How teachers define media arts,Efficient enough,,,
Q02-04,mediaDefinition,How teachers define media arts,software and digital tools used in the modern age.,,,
Q02-05,mediaDefinition,How teachers define media arts,Is dynamic interdisciplinary art technology,,,
Q02-06,mediaDefinition,How teachers define media arts,I would define media arts as any creative outlet that uses technology to create the final product.,,,
Q03-01,techEnhanced,Technology that boosted teaching or engagement,"A self portrait project where I took photos of each student, used photoshop to filter the face into shades of grey, then students painted on overhead projector film to create multiple versions of themselves.",,,
Q03-02,techEnhanced,Technology that boosted teaching or engagement,"Using AI generated images is a game changer when reference photos are needed for traditional media. In particular, the ability to create a reference photo in a technique style is very helpful for students to see the breakdown.",,,
Q03-03,techEnhanced,Technology that boosted teaching or engagement,My students love creating animations on their iPads. This generation is very into using technology and feel more comfortable on an iPad.,,,
Q03-04,techEnhanced,Technology that boosted teaching or engagement,"using AI to create grading rubrics, using pear deck to increase student engagement during class, using analytical data collection through Kahoot and Blooket to assess student understanding. Using AI to create accessible content in the reading level of my students.",,,
Q03-05,techEnhanced,Technology that boosted teaching or engagement,How I carried out a real explanation,,,
Q03-06,techEnhanced,Technology that boosted teaching or engagement,I like to use it to showcase student work and help them to plan out projects.,,,
Q04-01,mediaProject,Media arts projects with strong student impact,"Project ""My Story"": Students create a short narrative about their identity and culture. It helps students reflect on their experiences and passion to develop concept.",,,
Q04-02,mediaProject,Media arts projects with strong student impact,"I teach in an International Baccalaureate (IB) school and this year we participated in the ""No Place for Hate"" poster contest as part of our Creative Activity Service component. We use Canva and students who have limited technical ability really enjoyed being able to produce a polished artwork. The challenge is to…",,,
Q04-03,mediaProject,Media arts projects with strong student impact,Using it as a tool to create brainstorming and planning ideas have really made their traditional art making better.,,,
Q04-04,mediaProject,Media arts projects with strong student impact,Logo design is always a good digital art project that allows students to look at the world through an art lens.,,,
Q04-05,mediaProject,Media arts projects with strong student impact,"If you have used AI tools in your teaching, can you describe a specific project or lesson where it was particularly useful?",,,
Q04-06,mediaProject,Media arts projects with strong student impact,"Student created animated short film showcasing their personal stories, exploring themes like identity, culture and social issues",,,
Q05-01,aiFuture,How AI could change the future of art education,"[PERSON]'re outsourcing our creativity, instead of doing the work to teach kids how to ideate on their own. Remixing is not the same as originality.",,,
Q05-02,aiFuture,How AI could change the future of art education,"AI could revolutionize art education by making it more accessible and personalized. With AI, students can receive instant feedback on their work, helping them refine their skills more effectively. It can also introduce students to new creative possibilities, such as exploring generative art or experimenting with…",,,
Q05-03,aiFuture,How AI could change the future of art education,"Another loaded questionâ€¦ a significant reason i love it is because i have attention issues and often struggle starting projects. if i have. a bunch of thoughts, i can type it into the generator and it can give me ideas that I would otherwise procrastinate and not start because i was overwhelmed!!",,,
Q05-04,aiFuture,How AI could change the future of art education,"Personalized Learning: AI can create individualized learning experiences, tailoring content to each student’s learning pace and style. For example, AI-powered tools can offer real-time feedback, suggest resources, and help identify areas where students need improvement, enhancing educational outcomes.",,,
Q05-05,aiFuture,How AI could change the future of art education,Artificial intelligence is a great media innovation and it enhance learning. Especially for students with special needs.,,,
Q05-06,aiFuture,How AI could change the future of art education,"I believe we can use AI to assist with writing lessons, planning curriculum, writing emails... HOWEVER, I do not think it should replace us. We need to revise, refine and make sure that the focus is what we intended as much can be lost in translation when using AI to assist.",,,
Q06-01,aiUseful,When AI was especially useful in teaching,Students analyzed artworks using AI-generated observations and insights. AI Impact: Enhanced Critical Thinking and Increased Engagement.,,,
Q06-02,aiUseful,When AI was especially useful in teaching,I find It best during art project for illustrations,,,
Q06-03,aiUseful,When AI was especially useful in teaching,"We used ai as a feedback tool for drawings, we put photo of the artwork in gemeni, then asked for specific feedback based on the standards, It was great opportunity to learn how to prompt and use the tools in a traditional classroom.",,,
Q06-04,aiUseful,When AI was especially useful in teaching,"My students create a passion project at the end of the year where they can combine a learned technique with a theme that is most important to them at this moment in time. Using AI, students can create a list of potential art projects they can refine or select to make. AI is not the final product of this project, but…",,,
Q06-05,aiUseful,When AI was especially useful in teaching,[PERSON]'s always useful,,,
Q06-06,aiUseful,When AI was especially useful in teaching,I haven't yet and would very much like to explore it,,,
